taxon_id,scientific_name,common_name,iconic_taxon_name,species_guess,latitude,longitude,positional_accuracy,place_guess,observed_on,time_observed_at,time_zone,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,coordinates_obscured,image_url,sound_url,description,tag_list
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7602450297,-117.2248721123,8.0,"Mission Bay, San Diego, CA, USA",2016-11-13,2016-11-13 19:30:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/5509666/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.760482,-117.222657,17.0,Old Seaworld Drive,2016-11-12,2016-11-12 20:00:39 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/5615583/medium.jpg,,"This guy has been at the same burrow along the San Diego River Estuary for several weeks now. Don't think he was too happy about this picture being taken! He was looking around, very attentive to everything happening around him. Just out of frame was a small pile of feathers. He might have had a good meal earlier in the day...",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.8352851868,-117.0069732666,,"8667-8807 Mission Gorge Road Santee, CA 92071",2016-11-30,2016-12-01 00:03:03 UTC,Pacific Time (US & Canada),research,7,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/5817401/medium.jpeg,,"Hard to see, but definitely a BO.
",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.1674804577,-117.2761774063,50.0,"Carlsbad, CA, USA",2016-12-31,2016-12-31 21:57:00 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/5935452/medium.jpeg,,"Seen the day before, also, perching near different burrows in the area.",
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7603895263,-117.2234773636,15.0,"Mission Bay, San Diego, CA, USA",2017-01-16,2017-01-16 23:50:00 UTC,Pacific Time (US & Canada),research,6,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/6050164/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.2424010218,-117.1927523652,61.0,"San Diego County, US-CA, US",2016-10-22,2016-10-23 03:04:00 UTC,Arizona,research,2,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/6092714/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,33.0419127563,-116.0017936247,61.0,"California, US",2016-12-01,2016-12-01 17:00:00 UTC,Pacific Time (US & Canada),research,2,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/6092912/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7607177313,-117.219800725,516.0,"Old Sea World Drive San Diego, CA 92109",2017-01-27,2017-01-27 18:47:00 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://static.inaturalist.org/photos/6177674/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7616285045,-117.2236127116,201.0,"SeaWorld San Diego, San Diego, CA, US",2017-02-03,2017-02-03 19:27:40 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://static.inaturalist.org/photos/6239831/medium.jpg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.5635111111,-117.1230666667,,"Imperial Beach, CA, USA",2017-02-12,2017-02-13 00:45:00 UTC,Pacific Time (US & Canada),research,5,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/6270606/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7603726246,-117.2239011526,8.0,"Mission Bay, San Diego, CA, USA",2017-02-24,2017-02-24 19:29:00 UTC,Pacific Time (US & Canada),research,6,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/6375283/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.7748748651,-117.3558692929,129.0,"San Diego County, US-CA, US",2017-01-14,2017-01-15 02:04:00 UTC,Pacific Time (US & Canada),research,7,0,False,True,https://inaturalist-open-data.s3.amazonaws.com/photos/6424869/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.980888908,-116.9690221995,62.0,"92064, Poway, CA, US",2017-03-30,2017-03-30 21:06:30 UTC,Pacific Time (US & Canada),research,6,0,False,False,https://static.inaturalist.org/photos/6795433/medium.jpg,,Found this guy while hiking...he swooped down to catch bunny!! It caught me taking a picture ahah,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.577663019,-116.9623160362,64.0,"Otay Mesa, San Diego, CA, USA",2015-06-14,2015-06-14 19:58:00 UTC,Pacific Time (US & Canada),research,3,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/8373525/medium.jpeg,,,
19975,Athene cunicularia,Burrowing Owl,Aves,Burrowing Owl,32.57738461,-116.9622956718,45.0,"1100–1198 La Media Rd, San Diego, CA, US",2011-07-04,2011-07-04 17:00:02 UTC,Pacific Time (US & Canada),research,4,0,False,False,https://inaturalist-open-data.s3.amazonaws.com/photos/8858144/medium.jpg,,,
